attributes.biome-name,attributes.lineage,attributes.samples-count,id,links.self,relationships.children.links.related,relationships.genomes.links.related,relationships.samples.links.related,relationships.studies.links.related,type
Nasopharyngeal,root:Host-associated:Mammals:Respiratory system:Nasopharyngeal,222,root:Host-associated:Mammals:Respiratory system:Nasopharyngeal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mammals:Respiratory%20system:Nasopharyngeal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mammals:Respiratory%20system:Nasopharyngeal/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mammals:Respiratory%20system:Nasopharyngeal/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mammals:Respiratory%20system:Nasopharyngeal/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mammals:Respiratory%20system:Nasopharyngeal/studies,biomes
Nasal cavity,root:Host-associated:Mammals:Respiratory system:Nasopharyngeal:Nasal cavity,0,root:Host-associated:Mammals:Respiratory system:Nasopharyngeal:Nasal cavity,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mammals:Respiratory%20system:Nasopharyngeal:Nasal%20cavity,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mammals:Respiratory%20system:Nasopharyngeal:Nasal%20cavity/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mammals:Respiratory%20system:Nasopharyngeal:Nasal%20cavity/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mammals:Respiratory%20system:Nasopharyngeal:Nasal%20cavity/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mammals:Respiratory%20system:Nasopharyngeal:Nasal%20cavity/studies,biomes
Pulmonary system,root:Host-associated:Mammals:Respiratory system:Pulmonary system,343,root:Host-associated:Mammals:Respiratory system:Pulmonary system,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mammals:Respiratory%20system:Pulmonary%20system,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mammals:Respiratory%20system:Pulmonary%20system/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mammals:Respiratory%20system:Pulmonary%20system/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mammals:Respiratory%20system:Pulmonary%20system/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mammals:Respiratory%20system:Pulmonary%20system/studies,biomes
Viriome,root:Host-associated:Mammals:Respiratory system:Pulmonary system:Viriome,0,root:Host-associated:Mammals:Respiratory system:Pulmonary system:Viriome,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mammals:Respiratory%20system:Pulmonary%20system:Viriome,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mammals:Respiratory%20system:Pulmonary%20system:Viriome/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mammals:Respiratory%20system:Pulmonary%20system:Viriome/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mammals:Respiratory%20system:Pulmonary%20system:Viriome/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mammals:Respiratory%20system:Pulmonary%20system:Viriome/studies,biomes
Skin,root:Host-associated:Mammals:Skin,1056,root:Host-associated:Mammals:Skin,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mammals:Skin,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mammals:Skin/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mammals:Skin/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mammals:Skin/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mammals:Skin/studies,biomes
Microbial,root:Host-associated:Microbial,1,root:Host-associated:Microbial,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Microbial,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Microbial/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Microbial/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Microbial/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Microbial/studies,biomes
Bacteria,root:Host-associated:Microbial:Bacteria,6,root:Host-associated:Microbial:Bacteria,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Microbial:Bacteria,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Microbial:Bacteria/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Microbial:Bacteria/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Microbial:Bacteria/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Microbial:Bacteria/studies,biomes
Dinoflagellates,root:Host-associated:Microbial:Dinoflagellates,0,root:Host-associated:Microbial:Dinoflagellates,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Microbial:Dinoflagellates,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Microbial:Dinoflagellates/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Microbial:Dinoflagellates/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Microbial:Dinoflagellates/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Microbial:Dinoflagellates/studies,biomes
Endosymbionts,root:Host-associated:Microbial:Dinoflagellates:Endosymbionts,0,root:Host-associated:Microbial:Dinoflagellates:Endosymbionts,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Microbial:Dinoflagellates:Endosymbionts,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Microbial:Dinoflagellates:Endosymbionts/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Microbial:Dinoflagellates:Endosymbionts/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Microbial:Dinoflagellates:Endosymbionts/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Microbial:Dinoflagellates:Endosymbionts/studies,biomes
Mollusca,root:Host-associated:Mollusca,107,root:Host-associated:Mollusca,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mollusca/studies,biomes
