attributes.biome-name,attributes.lineage,attributes.samples-count,id,links.self,relationships.children.links.related,relationships.genomes.links.related,relationships.samples.links.related,relationships.studies.links.related,type
Engineered,root:Engineered,284,root:Engineered,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered/studies,biomes
Biogas plant,root:Engineered:Biogas plant,126,root:Engineered:Biogas plant,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biogas%20plant,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biogas%20plant/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biogas%20plant/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biogas%20plant/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biogas%20plant/studies,biomes
Wet fermentation,root:Engineered:Biogas plant:Wet fermentation,111,root:Engineered:Biogas plant:Wet fermentation,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biogas%20plant:Wet%20fermentation,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biogas%20plant:Wet%20fermentation/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biogas%20plant:Wet%20fermentation/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biogas%20plant:Wet%20fermentation/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biogas%20plant:Wet%20fermentation/studies,biomes
Bioreactor,root:Engineered:Bioreactor,1003,root:Engineered:Bioreactor,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor/studies,biomes
Continuous culture,root:Engineered:Bioreactor:Continuous culture,648,root:Engineered:Bioreactor:Continuous culture,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture/studies,biomes
Marine intertidal flat sediment inoculum,root:Engineered:Bioreactor:Continuous culture:Marine intertidal flat sediment inoculum,23,root:Engineered:Bioreactor:Continuous culture:Marine intertidal flat sediment inoculum,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20intertidal%20flat%20sediment%20inoculum,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20intertidal%20flat%20sediment%20inoculum/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20intertidal%20flat%20sediment%20inoculum/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20intertidal%20flat%20sediment%20inoculum/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20intertidal%20flat%20sediment%20inoculum/studies,biomes
Wadden Sea-Germany,root:Engineered:Bioreactor:Continuous culture:Marine intertidal flat sediment inoculum:Wadden Sea-Germany,5,root:Engineered:Bioreactor:Continuous culture:Marine intertidal flat sediment inoculum:Wadden Sea-Germany,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20intertidal%20flat%20sediment%20inoculum:Wadden%20Sea-Germany,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20intertidal%20flat%20sediment%20inoculum:Wadden%20Sea-Germany/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20intertidal%20flat%20sediment%20inoculum:Wadden%20Sea-Germany/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20intertidal%20flat%20sediment%20inoculum:Wadden%20Sea-Germany/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20intertidal%20flat%20sediment%20inoculum:Wadden%20Sea-Germany/studies,biomes
Marine sediment inoculum,root:Engineered:Bioreactor:Continuous culture:Marine sediment inoculum,35,root:Engineered:Bioreactor:Continuous culture:Marine sediment inoculum,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20sediment%20inoculum,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20sediment%20inoculum/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20sediment%20inoculum/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20sediment%20inoculum/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20sediment%20inoculum/studies,biomes
Wadden Sea-Germany,root:Engineered:Bioreactor:Continuous culture:Marine sediment inoculum:Wadden Sea-Germany,8,root:Engineered:Bioreactor:Continuous culture:Marine sediment inoculum:Wadden Sea-Germany,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20sediment%20inoculum:Wadden%20Sea-Germany,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20sediment%20inoculum:Wadden%20Sea-Germany/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20sediment%20inoculum:Wadden%20Sea-Germany/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20sediment%20inoculum:Wadden%20Sea-Germany/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioreactor:Continuous%20culture:Marine%20sediment%20inoculum:Wadden%20Sea-Germany/studies,biomes
Bioremediation,root:Engineered:Bioremediation,49,root:Engineered:Bioremediation,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation/studies,biomes
Hydrocarbon,root:Engineered:Bioremediation:Hydrocarbon,65,root:Engineered:Bioremediation:Hydrocarbon,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Hydrocarbon,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Hydrocarbon/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Hydrocarbon/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Hydrocarbon/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Hydrocarbon/studies,biomes
Benzene,root:Engineered:Bioremediation:Hydrocarbon:Benzene,0,root:Engineered:Bioremediation:Hydrocarbon:Benzene,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Hydrocarbon:Benzene,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Hydrocarbon:Benzene/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Hydrocarbon:Benzene/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Hydrocarbon:Benzene/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Hydrocarbon:Benzene/studies,biomes
Bioreactor,root:Engineered:Bioremediation:Hydrocarbon:Benzene:Bioreactor,2,root:Engineered:Bioremediation:Hydrocarbon:Benzene:Bioreactor,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Hydrocarbon:Benzene:Bioreactor,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Hydrocarbon:Benzene:Bioreactor/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Hydrocarbon:Benzene:Bioreactor/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Hydrocarbon:Benzene:Bioreactor/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Hydrocarbon:Benzene:Bioreactor/studies,biomes
Metal,root:Engineered:Bioremediation:Metal,0,root:Engineered:Bioremediation:Metal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Metal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Metal/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Metal/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Metal/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Metal/studies,biomes
Persistent organic pollutants (POP),root:Engineered:Bioremediation:Persistent organic pollutants (POP),53,root:Engineered:Bioremediation:Persistent organic pollutants (POP),https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Persistent%20organic%20pollutants%20(POP),https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Persistent%20organic%20pollutants%20(POP)/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Persistent%20organic%20pollutants%20(POP)/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Persistent%20organic%20pollutants%20(POP)/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Persistent%20organic%20pollutants%20(POP)/studies,biomes
Polycyclic aromatic hydrocarbons,root:Engineered:Bioremediation:Persistent organic pollutants (POP):Polycyclic aromatic hydrocarbons,0,root:Engineered:Bioremediation:Persistent organic pollutants (POP):Polycyclic aromatic hydrocarbons,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Persistent%20organic%20pollutants%20(POP):Polycyclic%20aromatic%20hydrocarbons,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Persistent%20organic%20pollutants%20(POP):Polycyclic%20aromatic%20hydrocarbons/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Persistent%20organic%20pollutants%20(POP):Polycyclic%20aromatic%20hydrocarbons/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Persistent%20organic%20pollutants%20(POP):Polycyclic%20aromatic%20hydrocarbons/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Persistent%20organic%20pollutants%20(POP):Polycyclic%20aromatic%20hydrocarbons/studies,biomes
Terephthalate,root:Engineered:Bioremediation:Terephthalate,0,root:Engineered:Bioremediation:Terephthalate,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate/studies,biomes
Wastewater,root:Engineered:Bioremediation:Terephthalate:Wastewater,92,root:Engineered:Bioremediation:Terephthalate:Wastewater,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate:Wastewater,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate:Wastewater/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate:Wastewater/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate:Wastewater/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate:Wastewater/studies,biomes
Activated sludge,root:Engineered:Bioremediation:Terephthalate:Wastewater:Activated sludge,0,root:Engineered:Bioremediation:Terephthalate:Wastewater:Activated sludge,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate:Wastewater:Activated%20sludge,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate:Wastewater:Activated%20sludge/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate:Wastewater:Activated%20sludge/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate:Wastewater:Activated%20sludge/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate:Wastewater:Activated%20sludge/studies,biomes
Bioreactor,root:Engineered:Bioremediation:Terephthalate:Wastewater:Bioreactor,4,root:Engineered:Bioremediation:Terephthalate:Wastewater:Bioreactor,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate:Wastewater:Bioreactor,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate:Wastewater:Bioreactor/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate:Wastewater:Bioreactor/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate:Wastewater:Bioreactor/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Terephthalate:Wastewater:Bioreactor/studies,biomes
Tetrachloroethylene and derivatives,root:Engineered:Bioremediation:Tetrachloroethylene and derivatives,0,root:Engineered:Bioremediation:Tetrachloroethylene and derivatives,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives/studies,biomes
Chloroethene,root:Engineered:Bioremediation:Tetrachloroethylene and derivatives:Chloroethene,0,root:Engineered:Bioremediation:Tetrachloroethylene and derivatives:Chloroethene,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Chloroethene,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Chloroethene/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Chloroethene/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Chloroethene/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Chloroethene/studies,biomes
Bioreactor,root:Engineered:Bioremediation:Tetrachloroethylene and derivatives:Chloroethene:Bioreactor,0,root:Engineered:Bioremediation:Tetrachloroethylene and derivatives:Chloroethene:Bioreactor,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Chloroethene:Bioreactor,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Chloroethene:Bioreactor/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Chloroethene:Bioreactor/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Chloroethene:Bioreactor/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Chloroethene:Bioreactor/studies,biomes
Tetrachloroethylene,root:Engineered:Bioremediation:Tetrachloroethylene and derivatives:Tetrachloroethylene,0,root:Engineered:Bioremediation:Tetrachloroethylene and derivatives:Tetrachloroethylene,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Tetrachloroethylene,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Tetrachloroethylene/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Tetrachloroethylene/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Tetrachloroethylene/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Tetrachloroethylene/studies,biomes
Bioreactor,root:Engineered:Bioremediation:Tetrachloroethylene and derivatives:Tetrachloroethylene:Bioreactor,0,root:Engineered:Bioremediation:Tetrachloroethylene and derivatives:Tetrachloroethylene:Bioreactor,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Tetrachloroethylene:Bioreactor,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Tetrachloroethylene:Bioreactor/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Tetrachloroethylene:Bioreactor/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Tetrachloroethylene:Bioreactor/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Bioremediation:Tetrachloroethylene%20and%20derivatives:Tetrachloroethylene:Bioreactor/studies,biomes
Biotransformation,root:Engineered:Biotransformation,13,root:Engineered:Biotransformation,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation/studies,biomes
Microbial enhanced oil recovery,root:Engineered:Biotransformation:Microbial enhanced oil recovery,8,root:Engineered:Biotransformation:Microbial enhanced oil recovery,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation:Microbial%20enhanced%20oil%20recovery,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation:Microbial%20enhanced%20oil%20recovery/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation:Microbial%20enhanced%20oil%20recovery/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation:Microbial%20enhanced%20oil%20recovery/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation:Microbial%20enhanced%20oil%20recovery/studies,biomes
Microbial solubilization of coal,root:Engineered:Biotransformation:Microbial solubilization of coal,0,root:Engineered:Biotransformation:Microbial solubilization of coal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation:Microbial%20solubilization%20of%20coal,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation:Microbial%20solubilization%20of%20coal/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation:Microbial%20solubilization%20of%20coal/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation:Microbial%20solubilization%20of%20coal/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation:Microbial%20solubilization%20of%20coal/studies,biomes
Mixed alcohol bioreactor,root:Engineered:Biotransformation:Mixed alcohol bioreactor,25,root:Engineered:Biotransformation:Mixed alcohol bioreactor,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation:Mixed%20alcohol%20bioreactor,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation:Mixed%20alcohol%20bioreactor/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation:Mixed%20alcohol%20bioreactor/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation:Mixed%20alcohol%20bioreactor/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Biotransformation:Mixed%20alcohol%20bioreactor/studies,biomes
Built environment,root:Engineered:Built environment,758,root:Engineered:Built environment,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Built%20environment,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Built%20environment/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Built%20environment/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Built%20environment/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Built%20environment/studies,biomes
Food production,root:Engineered:Food production,394,root:Engineered:Food production,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production/studies,biomes
Dairy products,root:Engineered:Food production:Dairy products,1829,root:Engineered:Food production:Dairy products,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Dairy%20products,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Dairy%20products/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Dairy%20products/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Dairy%20products/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Dairy%20products/studies,biomes
Fermented beverages,root:Engineered:Food production:Fermented beverages,270,root:Engineered:Food production:Fermented beverages,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Fermented%20beverages,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Fermented%20beverages/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Fermented%20beverages/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Fermented%20beverages/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Fermented%20beverages/studies,biomes
Fermented seafood,root:Engineered:Food production:Fermented seafood,26,root:Engineered:Food production:Fermented seafood,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Fermented%20seafood,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Fermented%20seafood/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Fermented%20seafood/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Fermented%20seafood/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Fermented%20seafood/studies,biomes
Fermented vegetables,root:Engineered:Food production:Fermented vegetables,395,root:Engineered:Food production:Fermented vegetables,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Fermented%20vegetables,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Fermented%20vegetables/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Fermented%20vegetables/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Fermented%20vegetables/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Fermented%20vegetables/studies,biomes
Silage fermentation,root:Engineered:Food production:Silage fermentation,12,root:Engineered:Food production:Silage fermentation,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Silage%20fermentation,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Silage%20fermentation/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Silage%20fermentation/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Silage%20fermentation/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Silage%20fermentation/studies,biomes
Industrial production,root:Engineered:Industrial production,13,root:Engineered:Industrial production,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Industrial%20production,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Industrial%20production/children,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Industrial%20production/genomes,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Industrial%20production/samples,https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Industrial%20production/studies,biomes
